"C201, C203, C204, C301, C303, C304, C401, C403, C404, C501, C503, C504, C601, C603, C604",,Resistors_SMD:R_0603_HandSoldering,0.1uF,81-GRM39X104K50D,mouser,,
R505,,Resistors_SMD:R_0603_HandSoldering,603-AF0603JR-074K7L,mouser,4.7K
U501,,SMD_Packages:SSOP-20,584-ADM3260ARSZ,,adm3260
U502,,conservify:atlas_sensor_board,,,ATLAS_SENSOR
C601,,Resistors_SMD:R_0603_HandSoldering,81-GRM39X104K50D,mouser,0.1uF
C602,,Resistors_SMD:R_0603_HandSoldering,810-C1608X7S0J106M,mouser,10uF
C603,,Resistors_SMD:R_0603_HandSoldering,81-GRM39X104K50D,mouser,0.1uF
C604,,Resistors_SMD:R_0603_HandSoldering,81-GRM39X104K50D,mouser,0.1uF
C605,,Resistors_SMD:R_0603_HandSoldering,810-C1608X7S0J106M,mouser,10uF
C606,,Resistors_SMD:R_0603_HandSoldering,810-C1608X7S0J106M,mouser,10uF
J601,,conservify:BNC,,,CONN_01X02
R601,,Resistors_SMD:R_0603_HandSoldering,603-RC0603FR-071K5L,mouser,1.5K
R602,,Resistors_SMD:R_0603_HandSoldering,603-RC0603FR-071K5L,mouser,1.5K
R603,,Resistors_SMD:R_0603_HandSoldering,603-AF0603JR-074K7L,mouser,4.7K
R604,,Resistors_SMD:R_0603_HandSoldering,603-RC0603FR-071K5L,mouser,1.5K
R605,,Resistors_SMD:R_0603_HandSoldering,603-AF0603JR-074K7L,mouser,4.7K
U601,,SMD_Packages:SSOP-20,584-ADM3260ARSZ,,adm3260
U602,,conservify:atlas_sensor_board,,,ATLAS_SENSOR
